title,title_detail,links,link,id,guidislink,published,published_parsed
[HorribleSubs] Yami Shibai - Japanese Ghost Stories 5 - 09 [1080p].mkv,"{'type': 'text/plain', 'language': None, 'base': 'http://horriblesubs.info/rss.php?res=1080', 'value': '[HorribleSubs] Yami Shibai - Japanese Ghost Stories 5 - 09 [1080p].mkv'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'magnet:?xt=urn:btih:MAD3XISBHVTDAWSG7RAN5HAGTBC7TA5M&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce'}]",magnet:?xt=urn:btih:MAD3XISBHVTDAWSG7RAN5HAGTBC7TA5M&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce,MAD3XISBHVTDAWSG7RAN5HAGTBC7TA5M,False,"Mon, 04 Sep 2017 00:17:08 +0000","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=4, tm_hour=0, tm_min=17, tm_sec=8, tm_wday=0, tm_yday=247, tm_isdst=0)"
[HorribleSubs] Keppeki Danshi! Aoyama-kun - 10 [1080p].mkv,"{'type': 'text/plain', 'language': None, 'base': 'http://horriblesubs.info/rss.php?res=1080', 'value': '[HorribleSubs] Keppeki Danshi! Aoyama-kun - 10 [1080p].mkv'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'magnet:?xt=urn:btih:U7AL2KXH3CXFEDXTY2LRKPUEMN3OQADG&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce'}]",magnet:?xt=urn:btih:U7AL2KXH3CXFEDXTY2LRKPUEMN3OQADG&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce,U7AL2KXH3CXFEDXTY2LRKPUEMN3OQADG,False,"Sun, 03 Sep 2017 21:14:42 +0000","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=3, tm_hour=21, tm_min=14, tm_sec=42, tm_wday=6, tm_yday=246, tm_isdst=0)"
[HorribleSubs] Centaur no Nayami - 09 [1080p].mkv,"{'type': 'text/plain', 'language': None, 'base': 'http://horriblesubs.info/rss.php?res=1080', 'value': '[HorribleSubs] Centaur no Nayami - 09 [1080p].mkv'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'magnet:?xt=urn:btih:2TXYRUBNVW7PB3C3ZJMV7TY4NMC35D3X&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce'}]",magnet:?xt=urn:btih:2TXYRUBNVW7PB3C3ZJMV7TY4NMC35D3X&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce,2TXYRUBNVW7PB3C3ZJMV7TY4NMC35D3X,False,"Sun, 03 Sep 2017 18:33:06 +0000","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=3, tm_hour=18, tm_min=33, tm_sec=6, tm_wday=6, tm_yday=246, tm_isdst=0)"
[HorribleSubs] Knight's & Magic - 10 [1080p].mkv,"{'type': 'text/plain', 'language': None, 'base': 'http://horriblesubs.info/rss.php?res=1080', 'value': ""[HorribleSubs] Knight's & Magic - 10 [1080p].mkv""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'magnet:?xt=urn:btih:KFEWDFJROXAIU6K2AFFTLA3UMRCJG2Z4&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce'}]",magnet:?xt=urn:btih:KFEWDFJROXAIU6K2AFFTLA3UMRCJG2Z4&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce,KFEWDFJROXAIU6K2AFFTLA3UMRCJG2Z4,False,"Sun, 03 Sep 2017 15:58:29 +0000","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=3, tm_hour=15, tm_min=58, tm_sec=29, tm_wday=6, tm_yday=246, tm_isdst=0)"
[HorribleSubs] Princess Principal - 09 [1080p].mkv,"{'type': 'text/plain', 'language': None, 'base': 'http://horriblesubs.info/rss.php?res=1080', 'value': '[HorribleSubs] Princess Principal - 09 [1080p].mkv'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'magnet:?xt=urn:btih:AOXZ3WB6KJNS76Q5CJMWA7UGORZM6BBB&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce'}]",magnet:?xt=urn:btih:AOXZ3WB6KJNS76Q5CJMWA7UGORZM6BBB&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce,AOXZ3WB6KJNS76Q5CJMWA7UGORZM6BBB,False,"Sun, 03 Sep 2017 14:35:21 +0000","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=3, tm_hour=14, tm_min=35, tm_sec=21, tm_wday=6, tm_yday=246, tm_isdst=0)"
[HorribleSubs] One Piece - 804 [1080p].mkv,"{'type': 'text/plain', 'language': None, 'base': 'http://horriblesubs.info/rss.php?res=1080', 'value': '[HorribleSubs] One Piece - 804 [1080p].mkv'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'magnet:?xt=urn:btih:PMB4MIOJWM7FSSIHEOMGPULY7VNXPLEQ&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce'}]",magnet:?xt=urn:btih:PMB4MIOJWM7FSSIHEOMGPULY7VNXPLEQ&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce,PMB4MIOJWM7FSSIHEOMGPULY7VNXPLEQ,False,"Sun, 03 Sep 2017 04:09:12 +0000","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=3, tm_hour=4, tm_min=9, tm_sec=12, tm_wday=6, tm_yday=246, tm_isdst=0)"
[HorribleSubs] Dragon Ball Super - 106 [1080p].mkv,"{'type': 'text/plain', 'language': None, 'base': 'http://horriblesubs.info/rss.php?res=1080', 'value': '[HorribleSubs] Dragon Ball Super - 106 [1080p].mkv'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'magnet:?xt=urn:btih:YYIMSNQ272JVD3P52X5PAGEQDOZ6GCEF&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce'}]",magnet:?xt=urn:btih:YYIMSNQ272JVD3P52X5PAGEQDOZ6GCEF&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce,YYIMSNQ272JVD3P52X5PAGEQDOZ6GCEF,False,"Sun, 03 Sep 2017 03:23:09 +0000","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=3, tm_hour=3, tm_min=23, tm_sec=9, tm_wday=6, tm_yday=246, tm_isdst=0)"
[HorribleSubs] Heybot! - 47 [1080p].mkv,"{'type': 'text/plain', 'language': None, 'base': 'http://horriblesubs.info/rss.php?res=1080', 'value': '[HorribleSubs] Heybot! - 47 [1080p].mkv'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'magnet:?xt=urn:btih:JL6NN6TOEWZNM6NMOYLEMPCSSXJM2LN5&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce'}]",magnet:?xt=urn:btih:JL6NN6TOEWZNM6NMOYLEMPCSSXJM2LN5&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce,JL6NN6TOEWZNM6NMOYLEMPCSSXJM2LN5,False,"Sat, 02 Sep 2017 23:18:21 +0000","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=2, tm_hour=23, tm_min=18, tm_sec=21, tm_wday=5, tm_yday=245, tm_isdst=0)"
[HorribleSubs] Enmusubi no Youko-chan - 10 [1080p].mkv,"{'type': 'text/plain', 'language': None, 'base': 'http://horriblesubs.info/rss.php?res=1080', 'value': '[HorribleSubs] Enmusubi no Youko-chan - 10 [1080p].mkv'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'magnet:?xt=urn:btih:MJSIEFNM3WJMBUJX2NIF2L3VKSYSES7P&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce'}]",magnet:?xt=urn:btih:MJSIEFNM3WJMBUJX2NIF2L3VKSYSES7P&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce,MJSIEFNM3WJMBUJX2NIF2L3VKSYSES7P,False,"Sat, 02 Sep 2017 17:57:32 +0000","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=2, tm_hour=17, tm_min=57, tm_sec=32, tm_wday=5, tm_yday=245, tm_isdst=0)"
[HorribleSubs] Ballroom e Youkoso - 09 [1080p].mkv,"{'type': 'text/plain', 'language': None, 'base': 'http://horriblesubs.info/rss.php?res=1080', 'value': '[HorribleSubs] Ballroom e Youkoso - 09 [1080p].mkv'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'magnet:?xt=urn:btih:3SA2HVOKKGFA63CIFWVY37LAUFH6FOYM&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce'}]",magnet:?xt=urn:btih:3SA2HVOKKGFA63CIFWVY37LAUFH6FOYM&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce,3SA2HVOKKGFA63CIFWVY37LAUFH6FOYM,False,"Sat, 02 Sep 2017 17:46:55 +0000","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=2, tm_hour=17, tm_min=46, tm_sec=55, tm_wday=5, tm_yday=245, tm_isdst=0)"
[HorribleSubs] The Reflection - 07 [1080p].mkv,"{'type': 'text/plain', 'language': None, 'base': 'http://horriblesubs.info/rss.php?res=1080', 'value': '[HorribleSubs] The Reflection - 07 [1080p].mkv'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'magnet:?xt=urn:btih:Y5ZBKDSOF7P5ZIXYIFKFYE76JHHJLZL7&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce'}]",magnet:?xt=urn:btih:Y5ZBKDSOF7P5ZIXYIFKFYE76JHHJLZL7&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce,Y5ZBKDSOF7P5ZIXYIFKFYE76JHHJLZL7,False,"Sat, 02 Sep 2017 17:40:42 +0000","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=2, tm_hour=17, tm_min=40, tm_sec=42, tm_wday=5, tm_yday=245, tm_isdst=0)"
[HorribleSubs] Katsugeki Touken Ranbu - 10 [1080p].mkv,"{'type': 'text/plain', 'language': None, 'base': 'http://horriblesubs.info/rss.php?res=1080', 'value': '[HorribleSubs] Katsugeki Touken Ranbu - 10 [1080p].mkv'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'magnet:?xt=urn:btih:LG2I4V5Q2DC6TTCYW5GDWHN5GIBGPUNG&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce'}]",magnet:?xt=urn:btih:LG2I4V5Q2DC6TTCYW5GDWHN5GIBGPUNG&tr=http://nyaa.tracker.wf:7777/announce&tr=udp://tracker.coppersurfer.tk:6969/announce&tr=udp://tracker.internetwarriors.net:1337/announce&tr=udp://tracker.leechersparadise.org:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://open.stealth.si:80/announce&tr=udp://p4p.arenabg.com:1337/announce&tr=udp://mgtracker.org:6969/announce&tr=udp://tracker.tiny-vps.com:6969/announce&tr=udp://peerfect.org:6969/announce&tr=http://share.camoe.cn:8080/announce&tr=http://t.nyaatracker.com:80/announce&tr=https://open.kickasstracker.com:443/announce,LG2I4V5Q2DC6TTCYW5GDWHN5GIBGPUNG,False,"Sat, 02 Sep 2017 17:33:28 +0000","time.struct_time(tm_year=2017, tm_mon=9, tm_mday=2, tm_hour=17, tm_min=33, tm_sec=28, tm_wday=5, tm_yday=245, tm_isdst=0)"
